,rt,disappear_time_error,disappear_time_time,run_num,refresh_rate,appear_time_error,appear_time_time,eeg_pulse_time,right_coherence,left_coherence,press_time_error,press_time_time,incorrect_resp,pressed,log_time,correct_resp,correct,fmri_tr_time,log_num,press_time,fmri_tr_time_error,fmri_tr_time_time
0,1.142951084646711,0.0,138.3653028305708,0.0,27.209951813688644,0.0,137.2065549798331,,0.3,0.18,0.0007603803203721782,138.3495060644798,1,4,138.8495060644798,4,True,,0.0,,,
1,1.2399529780477394,0.0,140.6822361082713,0.0,26.024993805626213,0.0,139.4236774314023,,0.24,0.12,0.0005313934977237977,140.66363040945004,1,1,141.16363040945004,4,False,,0.0,,,
2,1.027539371049528,0.0,142.8910094758709,0.0,26.95652964428674,0.0,141.84080830547535,,0.0,0.12,0.0003438265540580687,142.86834767652488,4,1,143.36834767652488,1,True,,0.0,,,
3,0.9748851464158008,0.0,144.6413589820739,0.0,26.223145844371153,0.0,143.6578474185857,,0.06,0.24,0.00048318574556560634,144.6327325650015,4,1,145.1327325650015,1,True,,0.0,,,
4,2.622192660342023,0.0,148.20893101249024,0.0,26.906689077586034,0.0,145.57495058705405,,0.06,0.24,0.0005018870287329946,148.19714324739607,4,1,148.69714324739607,1,True,,0.0,,,
5,0.788885508805123,0.0,149.8174167405021,0.0,26.157135883088966,0.0,149.01725782115366,,0.18,0.0,0.00048263163347428417,149.8061433299588,1,4,150.3061433299588,4,True,,0.0,,,
6,0.8818096913096838,0.0,151.7927839644393,0.0,25.957395446844306,0.0,150.9010247749058,,0.3,0.12,0.0005462159962092983,151.7828344662155,1,4,152.2828344662155,4,True,,0.0,,,
7,1.4988848494117235,0.0,154.4766566427789,0.0,27.254708234292945,0.0,152.9680462949572,,0.0,0.06,0.0004834628016254783,154.4669311443689,4,1,154.9669311443689,1,True,,0.0,,,
8,2.2540633039820364,0.0,157.65247114599802,0.0,27.13762098040645,0.0,155.3768469248718,,0.06,0.06,0.0005013329166416725,157.63091022885385,1,4,158.13091022885385,4,True,,0.0,,,
9,0.7495754116083049,0.0,159.17758904719872,0.0,25.79401182798491,0.0,158.41916779012894,,0.0,0.18,0.0005327787779521032,159.16874320173724,4,1,159.66874320173724,1,True,,0.0,,,
10,0.7113037204748309,0.0,160.7695988062209,0.0,26.351345135805914,0.0,160.03607269729022,,0.12,0.18,0.003288655275241581,160.74737641776505,4,1,161.24737641776505,1,True,,0.0,,,
11,0.6466169517296123,0.0,162.26989581030304,0.0,26.895313745798884,0.0,161.61147571686868,,0.18,0.3,0.00048817275441592756,162.2580926685983,4,1,162.7580926685983,1,True,,0.0,,,
12,0.6945268686183397,0.0,164.17027781518036,0.0,25.704563599304013,0.0,163.4618585252085,,0.06,0.06,0.0004693329432399196,164.15638539382684,4,4,164.65638539382684,1,False,,0.0,,,
13,2.883867109513062,0.0,167.87953381441346,0.0,27.165759889668145,0.0,164.97877390508836,,0.18,0.18,0.0005758609932371428,167.86264101460142,1,4,168.36264101460142,4,True,,0.0,,,
14,0.8023579131916847,0.0,169.57133084980293,0.0,26.49441859720228,0.0,168.75452695727628,,0.0,0.24,0.0005000861644219867,169.55688487046797,4,1,170.05688487046797,1,True,,0.0,,,
15,1.196318728600886,0.0,171.69678986240842,0.0,26.191786761389345,0.0,170.4882209621713,,0.18,0.06,0.00048332427360264774,171.6845396907722,1,1,172.1845396907722,4,False,,0.0,,,
16,1.111696392009918,0.0,173.88888279365585,0.0,26.596326264874126,0.0,172.76366177219455,,0.12,0.12,0.00048138488128302015,173.87535816420447,4,4,174.37535816420447,1,False,,0.0,,,
17,1.6805847157044695,0.0,176.75610174384616,0.0,27.239508284456488,0.0,175.0641188038493,,0.18,0.12,0.0004489693237985648,176.74470351955378,1,1,177.24470351955378,4,False,,0.0,,,
18,,0.0,180.7485921396983,0.0,26.848445031648975,0.0,177.7396371341544,,0.0,0.0,,,4,,181.7329622998755,1,False,,0.0,,,
19,1.4101793993314118,0.0,183.50747995915086,0.0,27.482543959185055,0.0,182.08220917842354,,0.24,0.06,0.0006340427630391332,183.49238857775495,1,4,183.99238857775495,4,True,,0.0,,,
20,0.6537032142380212,0.0,185.04122593976027,0.0,25.990234980532353,0.0,184.3743681044213,,0.12,0.24,0.000528345881207315,185.02807131865933,4,1,185.52807131865933,1,True,,0.0,,,
21,0.7729607428205156,0.0,186.7497843118676,0.0,26.399297847830283,0.0,185.9662989024702,,0.0,0.3,0.0009595836180125161,186.7392596452907,4,1,187.2392596452907,1,True,,0.0,,,
22,1.101938893626567,0.0,188.64210066111113,0.0,27.23613276172483,0.0,187.5332893922443,,0.24,0.24,0.0004914974269780714,188.63522828587088,4,1,189.13522828587088,1,True,,0.0,,,
23,0.9908212716983087,0.0,190.67569342972666,0.0,26.90634085250451,0.0,189.6670215754626,,0.12,0.0,0.00046670091079192844,190.6578428471609,1,1,191.1578428471609,4,False,,0.0,,,
24,0.7829699466224156,0.0,192.6759364078797,0.0,26.697031620354025,0.0,191.8758157222657,,0.3,0.0,0.0005018870287329946,192.65878566888813,1,4,193.15878566888813,4,True,,0.0,,,
25,0.6754994904939338,0.0,194.27626809937888,0.0,27.033960095271603,0.0,193.59280490987643,,0.24,0.3,0.00046933294322570873,194.26830440037037,4,1,194.76830440037037,1,True,,0.0,,,
26,0.840249760485051,0.0,196.11832620468124,0.0,27.23931237184212,0.0,195.26831908434085,,0.24,0.24,0.0005114454623367237,196.1085688448259,1,4,196.6085688448259,4,True,,0.0,,,
