,rt,corr_resp,disappear_time,run_num,appear_time_error,appear_time_time,eeg_pulse_time,press_time_error,press_time_time,stim,pressed,loc_x,loc_y,log_time,correct,condition,fmri_tr_time,log_num,fmri_tr_time_error,fmri_tr_time_time,press_time
0,0.586713278575985,4,,0.0,0.0,558.0573489393463,,0.0005397051791078411,558.6440622179223,"__<__
_<><_
<>>><
_<><_
__<__
",4,0.7071067811865474,-0.7071067811865477,558.6440622179223,True,=,,0.0,,,
1,0.5574240215349846,1,,0.0,0.0,559.5325357997971,,0.00047238055975640236,560.0899598213321,"__<__
_<<<_
<<<<<
_<<<_
__<__
",1,0.7071067811865476,0.7071067811865475,560.0899598213321,True,+,,0.0,,,
2,0.5204586496620323,1,,0.0,0.0,561.016163726825,,0.00047930696092635117,561.536622376487,"__<__
_<<<_
<<<<<
_<<<_
__<__
",1,1.0,0.0,561.536622376487,True,+,,0.0,,,
3,0.47301751160455296,1,,0.0,0.0,562.5248607931893,,0.001948812233024455,562.9978783047939,"__<__
_<<<_
<<<<<
_<<<_
__<__
",1,-1.8369701987210297e-16,-1.0,562.9978783047939,True,+,,0.0,,,
4,0.48287724366912244,1,,0.0,0.0,564.0000878267668,,0.0005417830994929318,564.482965070436,"__<__
_<<<_
<<<<<
_<<<_
__<__
",1,-0.7071067811865475,0.7071067811865476,564.482965070436,True,+,,0.0,,,
5,0.507432028454673,4,,0.0,0.0,565.3753181296057,,0.0005277917691159928,565.8827501580604,"__>__
_><>_
><><>
_><>_
__>__
",4,1.0,0.0,565.8827501580604,True,~,,0.0,,,
6,0.5506281137636506,4,,0.0,0.0,566.8589970349462,,0.0005211424240201268,567.4096251487099,"__>__
_>>>_
>>>>>
_>>>_
__>__
",4,6.123233995736766e-17,1.0,567.4096251487099,True,+,,0.0,,,
7,0.4746895448467967,1,,0.0,0.0,568.2925944581033,,0.0005119995744280459,568.7672840029501,"__<__
_<<<_
<<<<<
_<<<_
__<__
",1,-1.0,1.2246467991473532e-16,568.7672840029501,True,+,,0.0,,,
8,0.4607890888679549,4,,0.0,0.0,569.6511759089793,,0.0004975926600536695,570.1119649978473,"__>__
_>>>_
>>>>>
_>>>_
__>__
",4,-1.0,1.2246467991473532e-16,570.1119649978473,True,+,,0.0,,,
9,0.5538688383428507,1,,0.0,0.0,571.0431681026481,,0.0005239129844767376,571.597036940991,"__>__
_><>_
><<<>
_><>_
__>__
",1,-1.0,1.2246467991473532e-16,571.597036940991,True,=,,0.0,,,
10,0.6030324338431683,4,,0.0,0.0,572.5602053871886,,0.000506735509588907,573.1632378210318,"__<__
_<><_
<>>><
_<><_
__<__
",4,-0.7071067811865477,-0.7071067811865475,573.1632378210318,True,=,,0.0,,,
11,0.49710878162386507,1,,0.0,0.0,574.0270985748791,,0.0009975402964528257,574.524207356503,"__<__
_<<<_
<<<<<
_<<<_
__<__
",1,0.7071067811865474,-0.7071067811865477,574.524207356503,True,+,,0.0,,,
12,0.49202563433357227,4,,0.0,0.0,575.4857327218152,,0.0005190645036350361,575.9777583561488,"__<__
_<><_
<>>><
_<><_
__<__
",4,-0.7071067811865475,0.7071067811865476,575.9777583561488,True,=,,0.0,,,
13,0.5803994483261476,4,,0.0,0.0,576.7693137155487,,0.0004665623827690979,577.3497131638749,"__<__
_<><_
<>>><
_<><_
__<__
",4,6.123233995736766e-17,1.0,577.3497131638749,True,=,,0.0,,,
14,0.5342448200216268,4,,0.0,0.0,578.2029100304817,,0.000510198710117038,578.7371548505033,"__>__
_><>_
><><>
_><>_
__>__
",4,-0.7071067811865475,0.7071067811865476,578.7371548505033,True,~,,0.0,,,
15,0.4627104725523168,4,,0.0,0.0,579.6198865843367,,0.0005410904593077248,580.082597056889,"__>__
_>>>_
>>>>>
_>>>_
__>__
",4,-0.7071067811865475,0.7071067811865476,580.082597056889,True,+,,0.0,,,
16,0.49272783288427036,4,,0.0,0.0,581.0618186845489,,0.0004978697160140655,581.5545465174332,"__>__
_>>>_
>>>>>
_>>>_
__>__
",4,0.7071067811865474,-0.7071067811865477,581.5545465174332,True,+,,0.0,,,
17,0.6663409872835473,4,,0.0,0.0,582.5621156886311,,0.0004982853001251897,583.2284566759147,"__>__
_><>_
><><>
_><>_
__>__
",1,0.7071067811865474,-0.7071067811865477,583.2284566759147,False,~,,0.0,,,
18,1.052303333150462,1,,0.0,0.0,584.1790992797097,,0.0005043805331297335,585.2314026128602,"__<__
_<><_
<><><
_<><_
__<__
",1,-1.0,1.2246467991473532e-16,585.2314026128602,True,~,,0.0,,,
19,0.5967891143571933,4,,0.0,0.0,586.0211313417436,,0.0004855407219679364,586.6179204561008,"__>__
_><>_
><><>
_><>_
__>__
",4,-1.0,1.2246467991473532e-16,586.6179204561008,True,~,,0.0,,,
20,0.6629131113450057,1,,0.0,0.0,587.5964831059534,,0.0005413675153818076,588.2593962172984,"__>__
_><>_
><<<>
_><>_
__>__
",1,-0.7071067811865477,-0.7071067811865475,588.2593962172984,True,=,,0.0,,,
21,0.5722056542706468,1,,0.0,0.0,589.171780290122,,0.0004664238547320565,589.7439859443926,"__<__
_<><_
<><><
_<><_
__<__
",1,0.7071067811865474,-0.7071067811865477,589.7439859443926,True,~,,0.0,,,
22,0.6442075338188715,4,,0.0,0.0,590.5553895989835,,0.000503549365021172,591.1995971328024,"__<__
_<><_
<>>><
_<><_
__<__
",4,0.7071067811865476,0.7071067811865475,591.1995971328024,True,=,,0.0,,,
