,rewards,balloon_number_session,run_num,pop_range_0,pop_range_1,balloon_number,press_time_error,press_time_time,balloon_in_bag,trkp_press_time,key_pressed,log_time,reward_appear_time_time,reward_appear_time_error,rt,grand_total,bag_ID_number,eeg_pulse_time,trial,set_number,pop_status,total,block,balloon_size,log_num,trkp_press_time_error,trkp_press_time_time
11,0.08,2.0,0.0,10.0,10.0,2.0,0.0005050731732580971,811.2766939345228,0.0,,4,811.8266939345227,810.6659859399597,0.0,0.6107079945630858,1.0699999999999996,2.0,,2.0,0.0,not_popped,0.35000000000000003,0.0,115.0,0.0,,
12,0.07,2.0,0.0,10.0,10.0,2.0,0.0005403978192362047,813.4136808336506,0.0,,4,813.9636808336505,813.0247923603457,0.0,0.38888847330485987,1.0699999999999996,2.0,,3.0,0.0,not_popped,0.42000000000000004,0.0,120.0,0.0,,
13,0.2,2.0,0.0,10.0,10.0,2.0,0.0005083978458060301,815.4121840383579,0.0,,1,815.9121840383579,815.2835929071435,0.0,0.1285911312143071,1.4899999999999998,2.0,,4.0,0.0,not_popped,0.42000000000000004,0.0,120.0,0.0,,
0,0.1,0.0,0.0,0.0,8.0,8.0,0.0004872030582419029,824.958899428101,2.0,,4,825.5088994281009,823.2184675586764,0.0,1.740431869424583,0.97,1.0,,0.0,0.0,not_popped,0.1,0.0,105.0,0.0,,
1,0.24,0.0,0.0,0.0,8.0,8.0,0.0004964844358710252,827.3322821826919,2.0,,4,827.8822821826918,826.8275223598082,0.0,0.5047598228836705,0.96,1.0,,1.0,0.0,not_popped,0.33999999999999997,0.0,110.0,0.0,,
2,0.24,0.0,0.0,0.0,8.0,8.0,0.0004982853001251897,829.637988733793,2.0,,4,830.187988733793,829.0529789343205,0.0,0.5850097994724592,0.95,1.0,,2.0,0.0,not_popped,0.58,0.0,115.0,0.0,,
3,0.09,0.0,0.0,0.0,8.0,8.0,0.0005006402765275197,831.9427386103645,2.0,,1,832.4427386103645,831.4951437616121,0.0,0.44759484875237376,1.52,1.0,,3.0,0.0,not_popped,0.58,0.0,115.0,0.0,,
4,0.16,1.0,0.0,8.0,16.0,15.0,0.0005099216540997986,836.1980694457604,3.0,,4,836.7480694457604,834.6291147671427,0.0,1.5689546786177289,1.49,2.0,,0.0,0.0,not_popped,0.16,0.0,105.0,0.0,,
5,0.23,1.0,0.0,8.0,16.0,15.0,0.0009623541784549161,838.2184757318297,3.0,,4,838.7684757318297,837.9964406609671,0.0,0.22203507086260288,1.49,2.0,,1.0,0.0,not_popped,0.39,0.0,110.0,0.0,,
6,0.12,1.0,0.0,8.0,16.0,15.0,0.0005054887573123779,840.7515941804932,3.0,,4,841.3015941804931,840.1218506346523,0.0,0.6297435458408245,1.48,2.0,,2.0,0.0,not_popped,0.51,0.0,115.0,0.0,,
7,0.06,1.0,0.0,8.0,16.0,15.0,0.0005244670965112164,842.8830865041012,3.0,,1,843.3830865041012,842.4889812039637,0.0,0.3941053001375394,1.99,2.0,,3.0,0.0,not_popped,0.51,0.0,115.0,0.0,,
8,0.07,2.0,0.0,0.0,8.0,11.0,0.00048470955380253145,845.6800353135637,5.0,,4,846.2300353135637,845.6398060829317,0.0,0.040229230632007784,1.99,1.0,,0.0,0.0,not_popped,0.07,0.0,105.0,0.0,,
9,0.09,2.0,0.0,0.0,8.0,11.0,0.00047806020870666543,847.8242005963355,5.0,,4,848.3742005963354,847.3816230940622,0.0,0.4425775022732523,1.99,1.0,,1.0,0.0,not_popped,0.16,0.0,110.0,0.0,,
10,0.1,2.0,0.0,0.0,8.0,11.0,0.0004914974269922823,849.9560414564504,5.0,,4,850.5060414564504,849.6654301655299,0.0,0.2906112909205376,1.99,1.0,,2.0,0.0,not_popped,0.26,0.0,115.0,0.0,,
11,0.21,2.0,0.0,0.0,8.0,11.0,0.0005268220729135464,852.2244629130005,5.0,,4,852.7744629130004,851.8575411054204,0.0,0.36692180758007,1.99,1.0,,3.0,0.0,not_popped,0.47,0.0,120.0,0.0,,
12,0.11,2.0,0.0,0.0,8.0,11.0,0.0005651943354223476,854.4053590397016,5.0,,4,854.9553590397015,853.9913381197536,0.0,0.4140209199480296,1.99,1.0,,4.0,0.0,not_popped,0.58,0.0,125.0,0.0,,
13,0.11,2.0,0.0,0.0,8.0,11.0,0.000534856698322983,856.6650213693329,5.0,,4,857.2150213693328,856.2500766059969,0.0,0.41494476333593866,1.99,1.0,,5.0,0.0,not_popped,0.69,0.0,130.0,0.0,,
14,0.14,2.0,0.0,0.0,8.0,11.0,0.0004902506747725965,859.2976971378448,5.0,,4,861.0476971378448,858.6505622298357,0.0,0.6471349080090931,1.98,1.0,,6.0,0.0,popped,0.0,0.0,130.0,0.0,,
15,0.09,3.0,0.0,0.0,16.0,0.0,0.0009890900869891084,863.6907508717568,0.0,,4,864.2407508717567,863.1431249373161,0.0,0.5476259344407026,1.97,0.0,,0.0,0.0,not_popped,0.09,0.0,105.0,0.0,,
16,0.24,3.0,0.0,0.0,16.0,0.0,0.0005426142676014933,866.0227364659506,0.0,,4,866.5727364659506,865.5852853317109,0.0,0.4374511342397227,1.97,0.0,,1.0,0.0,not_popped,0.32999999999999996,0.0,110.0,0.0,,
